3859,Xiaojia Guo
52701,Xinping Guo
112455,Xianfeng David Gu
133152,Ximing Guo
182045,Xiao Yan Gong
199583,Xi Qi Gao
318934,Xiaoming Gu
388168,Xavier Granier
446375,Xinyu Guo
480580,X. Golay
482354,Xianfeng Gu
486540,Xudong Guan
523123,Xavier Gabaix
631893,Xiaoying Gao
662060,Xu jian Guan
748413,Xin Yuan Guang
796859,X. Greppin
805115,Xavier Gourdon
897018,Xtag Research Group
926061,Xiaohu Guo
1028123,Xiong Hua gang
1041480,Xiaoyi Tang Andrea Gold
1052096,Xun Gong
1082104,Xavier Gabaix
1096810,Xun Gong
1138983,Xijin Ge
1139677,Xavier Giannakopuolos
1163651,Xi Wen Guany
1178919,Xiaoyi Guan
1206613,Xavier Gabaix
1358973,Xerox Learning Research Group
1512831,Xiaojun Guan
1589387,Xianjun Geng
1625832,X. Edward Guo
1728913,Xiaofang Gao
1745590,Xiaolei Gao
1847264,Xijin Ge
1881759,Xiaodong Gu
1896275,Xu 'Eric' Guo
2033664,XIAO JUN GU
2049860,X/open Group
2050168,Xavier Gine
2065929,Xun Gong
2158945,Xavier Gandibleux
2161716,Xinyu Guo
2170211,X. Ge
2179205,Xuedao Gu
2249729,Xavier Gandibleux
2253991,Ximing Guo
