771,P. K. Joshi
23729,P. Jose
52874,P. J. Julyan
61064,Prashant K. Jain
92504,Philippe Jorion
120357,Peter A. Jarvis
126022,Paul E. Jones
149119,Petr Jancar
153481,Pasi A. Janne
157358,P. Jarmuszewski
160389,Patrick A. Jansen
166888,P. M. Jacquart
167916,Philip D. Jones
169995,Pedro L. Rustan Jr.
192716,Peter G. Jeavons
202380,P. T. Johnstone
215886,P. Jeppe
222913,Prabhat Jain
235981,Piotr Jasiobedzki
242833,Programming System John
248821,P. Jenffer
250386,Ping Yu Jiang
262733,Patrick A Jansen
271835,Philippe du Jardin
277893,Portland Oregon July
289418,Philip J. Jennings
293005,P. Jalocha
319601,Peter E. Jones
320855,P. Jaguiro
324650,Patrick Jabouille
342070,Predrag JelenkovX
342558,P. J. De Jongh
349544,Pauline Jacobson
360211,Peter D. Johnson
370403,P. Jolicoeur
389590,Patrick James
399791,P. A. JansevanRensburg
411211,Prateek Jain
417496,Peter R. Jaffe
420866,Peyton Jones
423295,Peter S. Joergensen
432294,P. M. Garel Jones
435787,Producing Behavior Jordan
444808,Patrick Jackson
455294,P. De Jong
458451,P. J. Shoaff Jr.
458515,P. L. Jiang
465393,Pierre Jacquemart
474225,Paul J. Taylor Jr.
485159,Paul Joskow
494116,P. Jaaskelainen
541163,Peter Jores
541323,Paul Janssen
545381,Poul Jacobsen
553058,Peter K. Jimack
557077,Peris Sean Jones
560695,Philip B. McLaughlin Jr.
573186,Prateek Jain
574014,Philip T. Mueller Jr.
581688,Philippe du Jardin
587671,Per Johansson
596248,P. Jahkonen
602188,P. Jacobs
608008,P. Jourda
610114,Peter Jipsen
625103,Po Zhao Jinwook
636213,Philip Jonathan
636227,P. Jakobsen
636948,Patrick R. Gallagher Jr.
638793,P. A. Johnson
665764,Peter Jakubik
679963,Peter Jacobson
681853,Patrick R. Jordan
692858,Pattern Language Jens
693364,Philippe Jacquod
717657,Per Jonsson
721968,P. Jain
724731,Peter H Jesty
741991,Pierre Emmanuel Jabin
747322,Patrik Johansson
759439,Paldus Josef
778718,PAUL I. JOE
783695,Petra Jordanov
788120,Paula R. Johnson
798224,Predrag Jovanovic
798753,P. Jalenkovic
818411,Peter H. Janssen
837541,Paul S. Jacobs
840194,Paul J. Ausbeck Jr.
852257,P. R. Jossman
863715,Pierre Jourliny
865819,Patricia A. Jacobson
871807,Peyton Jones
873129,Pg Jarvis
874265,Peter Johnston
883109,P. Julienne
894632,P. J. Johnson
897735,Pieter P. Jonker
907809,Prateek Jain
952452,Prashant K. Jain
959417,Paul Jones
961082,Peng Jia
963614,P. Jervis
972002,Paul E. Johnson
980660,Peter M. Shoolingin Jordan
981705,Photo By Jennifer
982182,P. Joodi
982191,P. Jacob
992399,P. j. Jun
1003033,Patrick Joly
1012461,P. Joskow
1026783,Peter R. Jensen
1038901,Petri Jokela
1043498,Piotr Jasiobedzki
1045346,Paul A. Janmey
1060172,Pires Jorge
1061030,Poul Jorgensen
1065329,Petr Janar
1066139,Paul Jackway
1071650,Paul Janecek
1080043,P Jaguiro
1086835,Philip G. Joyce
1089362,Pramod Jain
1094108,Problems May Jorg
1101816,P. G. JARVIS
1104418,Phillippe Joly
1110763,Per Jonsson
1113290,P. Jiru
1127440,Prateek Jain
1142637,Philip Jonathan
1147445,P. D. Jeffery
1160511,Peter Jacso
1162911,Piotr Jedrasik
1168698,Patrick A. Jansen
1172711,Peter Johnstone
1179216,Peter Jahn
1183727,Prasad Jogalekar
1185363,P. Jackson
1188798,P. B. Johns
1193901,Pp San Jose
1203117,Pedher Johansson
1206101,Patrick Jaillet
1211917,P. Jax
1215164,Papadimos Thomas J
1223071,Philippe Jehiel
1225424,P. Janpugdee
1232893,P. J. Jap
1237210,P. Jupp
1239038,Paul Lorton Jr.
1249118,Philip N. Judson
1251035,Philip J. B. Jackson
1253856,Paul B. Johnson
1258796,P. Jutzi
1279593,Palle Bekker Jeppesen
1299581,Predrag R. Jelenkovic
1315573,Peter A. Jones
1329522,Philippe Joly
1332444,P. Jaffre
1344812,Pierre Janc`ene
1351253,Peter Leth Jorgensen
1355668,Peter Doyle Juan
1360596,Pfleiderer Hans Jorg
1363589,Philippe Jaming
1365832,Phillis Jones
1366149,Peter Januschke
1378788,P. Jedeloo
1379500,Peter F. Jones
1382707,Peter M. Shoolingin Jordan
1384173,Peter L Jorgensen
1388302,Peter Jaskiewicz
1393236,Pizhong Qiao Julio
1398493,P. Jutras
1413030,Paulo J. Ribeiro Jr.
1415467,P. Joshi
1427331,Peter Jacso
1446334,Polle Zellweger Jock
1454754,Palis James
1463267,Philippe Jorion
1466898,Peter Zinterhof Jun
1467683,P. Jeremaes
1514119,P. Jolissaint
1526793,Philip Jonathan
1543035,PATARD ROULIER Jean Jacques
1553119,Paul W. Jardetzky
1585690,Piotr Juszczak
1592982,P. A. Janssens
1599744,Phillip F. Chimento Jr.
1604552,Phillip H. Jones
1620864,Peter Junghanns
1624011,P. Jonas
1636429,Paul K. Harter Jr.
1645696,Patrick Juola
1660146,Patrick Jenkins
1665306,P. R. James
1692995,Pamela Jagger
1693836,Patrick Jaillet
1705338,Peer to peer Systems Johannes
1708942,Peter Juslin
1719686,Peter R. Jaffe
1727409,Philippe Jehiel
1738710,Philip M. Johnson
1742708,Per Jonsson
1748479,Pushdown Systems Javier
1753820,Philippe Jacquet
1766132,P. Kelly Joyner
1770335,Pekka Jussila
1773737,Peter E. Prevelige Jr
1774039,Prashant K. Jain
1784596,P. K. Johri
1785370,Peter Jansson
1792263,Penni Leigh Jones
1793129,Philippe Jorion
1800318,Pierre étienne Jacques
1804172,Prem P. Jain
1814099,P. T. Jones
1824166,Pratibha Jain
1832698,Philippe Jegou
1833908,Paul L. Joskow
1835916,Patrick Jaillet
1835925,P. Jucker
1836613,Paul L. Joskow
1836685,P. M. Joseph
1843072,Pankaj Joshi
1846382,Packets Laura James
1867197,Phil Janson
1879728,Peter Cholak Jr.
1887287,Piyush Mehrotra John
1899497,P. Jasiobedzki
1904954,Philip J. Koopman Jr.
1907277,Peter Jacso
1916465,PATRICIA L. JACKSON
1916869,Preeti Jain
1919703,Pyong Woo Jang
1924773,Predrag Jovanovic
1928641,Peyton S. L. Jones
1941783,Peter D. Jarvis
1944279,P. c. De Jong
1945173,Peter Jäckel
1965130,Pe ter Jacso
1966163,Position Paper Jens Jahnke
1984302,Poul M. Rands Jensen
2000589,P. Johannsen
2006064,Peter James
2013547,Peter A. DeMaria Jr.
2016120,Philip Jonathan
2016834,Piotr Jasiobedzki
2026147,Peter S. Jackson
2034289,Pyung Woo Jang
2035729,Priscilla Pek Su jin
2049753,Peter C. L. Jaffe
2050685,Paul E. Blower Jr.
2058345,Per Anders Jande
2062338,P. Jarvensivu
2074555,P. a. b. James
2078890,Pierre Jeannin
2095977,Philippe Jacques
2102699,Per Jonsson
2111389,Pramod G. Joisha
2116667,Peter John
2117050,Paul S. LaFollette Jr.
2117712,Paul L. Joskow
2131176,Philip D. Jones
2136298,Pontus Johansson
2142123,Palle E. T. Jorgensen
2143768,P. Jukkala
2152011,Par Jansson
2154912,Paulo Jesus
2171811,P. Juhas
2186743,Prasad Jayaweera
2189592,P. Jarratt
2191222,Pooyan Jamshidi
2195757,P. J?rgensen
2198587,Peter Jaeschke
2204673,P. V. Jaguiro
2205833,Paul G. A. Jespers
2207685,Philippe Jacquod
2210133,PETER R. JONES
2216135,Pierre Wilner Jeanty
2217061,P. Jozwiak
2218337,PETER J. DE JONG
2231644,Peter W. Jusczyk
2232695,Paul E. Wakely Jr.
2232843,Pedro A. Jose
2256776,Patrick Jermann
2261566,Per Jonsson
2271615,P. Gil jim¨|nez
2277512,Paul F. Jacobs
2282306,Peter A. Jensen
