80485,C. Adams. X
84093,Chaung Bai Xiao
135255,Chris Xu
162198,Cheng Gang Xu
334846,Cheng Lin Xu
346856,Cathy H. Xia
353520,Ccitt Sg Xviii
607129,Chunchuan Xu
636838,Conformal array Stap Xavier
655955,Costas S. Xydeas
788873,Christer Fernstrom Xerox
898722,Chang De Xie
1043455,CHENG Xueqi
1220300,Chenyang Xu
1239158,Chenyang Xut
1290241,Christos A. Xenophontos
1299188,Chang Sheng Xu
1402413,Cheng Xian Xu
1481536,Chenggang Xie
1507065,Caiming Xiong
1513724,Chao Xu
1523755,Christos Xenakis
1622431,Changcheng Xiang
1656563,Changbai Xiao
1703338,Chang qing Xu
1782786,Chang Sheng Xie
1957604,Chunpeng Xiao
2014674,Chenyi Xia
2058824,Communicated Jeff Xia
2169267,Chun Xu
2172849,Ccitr Study Group Xviii
2249756,Changlu Xu
2273537,Chen Xiangxun
