19780,Hsiao Yun Yang
23389,H. Yasui
32045,H. Yoshii
32649,Hiromi Yokota
33050,Hyun kyu Yun
34112,Hiroshi Yadohisa
37350,Hsi Han Yeh
41361,Hatim Yamin
43378,Heekyung Youn
51643,H. Yamshita
55356,Hiroyuki Yoshikawa
82136,H. Possible Worlds Yang
82275,Hong Yan
93676,H. You
93755,Hiroshi Yasuda
100722,Hiroto Yasuura
104753,H. Yanami
105663,Hasan Ymeri
106393,Hisanori Yamaoku
111421,Hongji Yang
139167,Hyun seok Yang
148603,Hayato Yonezawa
154574,Hiroshi Youra
157320,Hwa nien Yu
161840,H. Yoshioka
170882,Heon chang Yu
178205,Hirofumi Yamamoto
180553,Heon Y. Yeom
189117,H. Yamane
214646,Hsiao Yun Yu
216960,Haluk Yapicioglu
225570,Hongyu Yang
229348,Hakan Yasarcan
231316,H. Yamaghuchi
231937,Honesty C. Young
258115,Howard K. C. Yee
263560,Hongseok Yang
269910,Haw Yang
273319,Hasan A. Yousef
282971,Hai Yang
287926,Hideo Yasunaga
312464,H YOON
312567,Hai Yu
314473,H. Ya
338390,Huaming Yao
356815,Heping Yue
386532,Hitoshi Yamamoto
391707,Hoonju Yun
408430,Hee dong Yang
417873,HIDEO YANO
437335,Hulya Yazici
437677,H. Yamaguchi
443251,Han Tzong Yuan
448706,H. K. Yin
452121,Harn Jou Yeh
455601,How May I Help You
466310,Hussein Yahia
482468,Hammam R. Yusuf
485160,Hui Ou Yang
506555,Huafeng Yu
506593,Hyun Gyoo Yook
510245,H. C. Yalcin
510313,Hongfei Yan
522292,Heiichi Yamamoto
543657,Hadi Yazdanmehr
555294,Huaiyu Yuan
590426,Hai Feng Yu
607133,H. J. Yack
622036,Hong Ming Yin
626825,Hisao Yamamoto
630269,H. Ye
641255,Hassanali Mosalman Yazdi
649458,Hongjie Yi
677749,Hyoungsoo Yoon
690007,He Yuchuan
702542,Harold Yaver
733820,H. Yi
734108,H. Yoshimura
737905,H. Yonekawa
741243,Howard Yang
746024,Hongil Yoon
766672,H. Yanagihara
766919,H. Yassaie
767459,Habib Youssef
768107,H. Yagi
781801,Hideki Yasukawa
797052,Haiwei Ye
801309,Halim Yanikomeroglu
806238,Haoping Yu
820702,Hakan Yakali
821622,Hung Yee
844789,Honggao Yanb
872824,Huan Yang
886043,H. C. Yu
890794,Ho Gyeong Yun
901164,Herbert Yeung
902280,H. Peyton Young
908842,H. Yakali
909586,Hi Yon Yoo
914771,H. Yau
949035,Helen P. Yeung
960031,H. Young
962977,Hwan seung Yong
966149,Hiroyuki Yoshida
974510,Hua You
986038,Honggao Yan
993345,Hyun Joong Yoon
999437,Honggao Yan
1002688,Huaming Yao
1037940,Haiyan Ye
1045449,Hee chul Yun
1068209,Hideki Yoshikawa
1068411,Hiroshi Yasuhara
1074813,Heon Young Yeom
1079509,Halifax Canada Ychen
1082214,H. Yoshizawa
1083927,Hidehiro Yuki
1106678,H. Q. Ye
1142051,Han nan Yu
1153140,Hiroyuki Yamamoto
1156293,Hiro aki Yamamoto
1158544,Hirofumi Yamaki
1169941,Ho sun Yoo
1197547,Hao Yang
1210836,Hyungjoo Yoon
1243277,Horng Tzer Yau
1247095,Hiroyuki Yano
1263677,H. Yamashita
1264289,Hyoseok Yoon
1277945,Huang Shell Ying
1287357,Hsu chun Yen
1293536,Hiroko Yuasa
1297459,Hamdi Yahyaoui
1297719,HONGBIN YU
1316373,Hongnian Yu
1326664,Hwanjo Yu
1332829,Hani Camille Yehia
1350961,Haihang You
1356608,Hirokazu Yatsu
1359991,Hao Yu
1371425,H. Yabuta
1374062,Holly A. Yanco
1386969,Hideki Yayama
1387304,H. Yanko
1397537,H. W. Yau
1397811,Huahai Yang
1407778,Horacio Hideki Yanasse
1412858,H. Yssuura
1418027,Huazhong Yang
1419796,HAN QING YU
1421376,H. Yokota
1432358,H. Yanagawa
1434052,Honghua Yang
1439834,Hoi Lai Yu
1447876,Hong Yu
1453742,Hyung Sik Yoo
1472342,Hideya Yamadera
1477872,Hong You
1482726,Hung Yu Yang
1503346,Hyun Jae Yoon
1516460,Hidekazu Yoshikawa
1528315,Hiroshi Yamada
1535238,Heon Young Yeom
1539132,H. Yagi
1541430,Heejong Yoo
1553754,Hyung jeong Yang
1559463,H. Yoshimoto
1563386,Hung Pin D. Yang
1571334,Hen geul Yeh
1589503,H. Yeung
1633434,Hirosuke Yamamoto
1635085,Hiroshi Yamamoto
1667524,Hu Yang
1675478,Hongsoek Yun
1679188,Hideki Yamamoto
1692509,Harunobu YUZAWA
1700307,Hung I. Yu
1713757,Haruo Yonetani
1715420,Hitoshi Yamamoto
1726320,Hidenori Yamada
1752578,Hyejoung Yoo
1757139,Han Yanbo
1760730,H. Peyton Young
1772587,H. Yuasa
1773131,H. T. Yang
1777933,Hung yu David Yang
1812825,Hyoseok Yoon
1827166,Henry S. Yang
1849700,H. y. Yue
1858402,Hiroshi Yokoyama
1875669,Huafeng Yu
1893403,Houjun Yang
1895394,Hyun Seung Yang
1900545,Hideki Yahagi
1909544,H. P. Yeung
1912715,Hong Yue
1928177,H. Yamin
1936754,Hong Young Yan
1956791,H. Yokote
1957491,Hong Yun
1964290,Hosung Yoon
1966847,H. d. Yee
1977365,H. Peyton Young
1983848,Huanming Yang
1984469,Hongyu Yao
1998423,Hussein M. Yahia
2004491,Houman Younessi
2010343,H. Yamamoto
2016206,Hangu Yeo
2027054,Hisashi Yokota
2031241,H. Yoshiura
2067412,Hankil Yoon
2069233,Hirotsugu Yamamoto
2075152,H. Yasutsune
2077662,Hirozumi Yamaguchi
2083369,Hung Yuet Yee
2089811,H AO YU
2091880,Hadi Sadoghi Yazdi
2102492,Hong Chuan Yang
2104172,Haluk Yapicioglu
2112718,H. Yenigun
2122148,H. Yamakawa
2126046,Hideyoshi Yamaoka
2134341,Hongli Yang
2137451,Honggao Yan
2185523,H. J. Yeol
2199701,Hisae Yamamura
2202625,Hiroki Yokota
2207235,H. Yudkin
2215292,Hideaki Yoshida
2215340,Hironobu Yamamoto
2219740,Hakan R. Yalcin
2240886,Hongnian Yu
2252383,H. Yuen
2260308,Hung Chi Yang
2263060,Heng Lin Yen
2273628,Hakan Yasarcan
2287700,Hongchuan Yu
